id,prefeitura,municipio,url,empresa,unidadegestora
1,Prefeitura Municipal de Afonso Cláudio,afonso claudio,https://afonsoclaudio-es.portaltp.com.br/api/,portaltp,
2,Prefeitura Municipal de Água Doce do Norte,água doce do norte,https://aguadocedonorte-es.portaltp.com.br/api/,portaltp,
3,Prefeitura Municipal de Águia Branca,águia branca,https://aguiabranca-es.portaltp.com.br/api/,portaltp,
4,Prefeitura Municipal de Alegre,alegre,https://alegre-es.portaltp.com.br/api/,portaltp,
5,Prefeitura Municipal de Alfredo Chaves,alfredo chaves,https://alfredochaves-es.portaltp.com.br/api/,portaltp,
6,Prefeitura Municipal de Alto Rio Novo,alto rio novo,https://altorionovo-es.portaltp.com.br/api/,portaltp,
7,Prefeitura Municipal de Anchieta,anchieta,http://anchieta-es.portaltp.com.br/api/,portaltp,
8,Prefeitura Municipal de Apiacá,apiacá,https://Apiaca-es.portaltp.com.br/api/,portaltp,
9,Prefeitura Municipal de Aracruz,aracruz,http://wstransparencia.aracruz.es.gov.br/api/,tectrilha,3
10,Prefeitura Municipal de Atílio Vivácqua,atílio vivácqua,https://www.pmav.es.gov.br/transparencia/api/,Alphatec,
11,Prefeitura Municipal de Baixo Guandu,baixo guandu,https://BaixoGuandu-es.portaltp.com.br/api/,portaltp,
12,Prefeitura Municipal de Barra de São Francisco,barra de são francisco,https://BarradeSaoFrancisco-es.portaltp.com.br/api/,portaltp,
13,Prefeitura Municipal de Boa Esperança,boa esperança,https://BoaEsperanca-es.portaltp.com.br/api/,portaltp,
14,Prefeitura Municipal de Bom Jesus do Norte,bom jesus do norte,https://BomJesusdoNorte-es.portaltp.com.br/api/,portaltp,
15,Prefeitura Municipal de Brejetuba,brejetuba,https://www.brejetuba.es.gov.br/transparencia/api/,Agape,
16,Prefeitura Municipal de Cachoeiro de Itapemirim,cachoeiro de itapemirim,https://transparencia.cachoeiro.es.gov.br/transparencia/api/,Agape,
17,Prefeitura Municipal de Cariacica,cariacica,https://wstransparencia.cariacica.es.gov.br/api/,tectrilha,6
18,Prefeitura Municipal de Castelo,castelo,https://Castelo-es.portaltp.com.br/api/,portaltp,
19,Prefeitura Municipal de Colatina,colatina,https://Colatina-es.portaltp.com.br/api/,portaltp,
20,Prefeitura Municipal de Conceição da Barra,conceição da barra,https://conceicaodabarra.cr2.site/,CR2,
21,Prefeitura Municipal de Conceição do Castelo,conceição do castelo,https://ConceicaodoCastelo-es.portaltp.com.br/api/,portaltp,
22,Prefeitura Municipal de Divino de São Lourenço,divino de são lourenço,https://DivinodeSaoLourenco-es.portaltp.com.br/api/,portaltp,
23,Prefeitura Municipal de Domingos Martins,domingos martins,https://DomingosMartins-es.portaltp.com.br/api/,portaltp,
24,Prefeitura Municipal de Dores do Rio Preto,dores do rio preto,https://dadosabertos-portalfacil.azurewebsites.net/391,portalfacil,
25,Prefeitura Municipal de Ecoporanga,ecoporanga,https://Ecoporanga-es.portaltp.com.br/api/,portaltp,
26,Prefeitura Municipal de Fundão,fundão,https://Fundao-es.portaltp.com.br/api/,portaltp,
27,Prefeitura Municipal de Governador Lindenberg,governador lindenberg,https://GovernadorLindenberg-es.portaltp.com.br/api/,portaltp,
28,Prefeitura Municipal de Guacuí,guaçuí,https://Guacui-es.portaltp.com.br/api/,portaltp,
29,Prefeitura Municipal de Guarapari,guarapari,http://transparencia.guarapari.es.gov.br:86/,tectrilha,2
30,Prefeitura Municipal de Ibatiba,ibatiba,https://Ibatiba-es.portaltp.com.br/api/,portaltp,
31,Prefeitura Municipal de Ibiracu,ibiraçu,https://Ibiracu-es.portaltp.com.br/api/,portaltp,
32,Prefeitura Municipal de Ibitirama,ibitirama,https://Ibitirama-es.portaltp.com.br/api/,portaltp,
33,Prefeitura Municipal de Iconha,iconha,https://dadosabertos-portalfacil.azurewebsites.net/209,portalfacil,
34,Prefeitura Municipal de Irupi,irupi,https://Irupi-es.portaltp.com.br/api/,portaltp,
35,Prefeitura Municipal de Itaguaçu,itaguaçu,https://Itaguacu-es.portaltp.com.br/api/,portaltp,
36,Prefeitura Municipal de Itapemirim,itapemirim,https://dadosabertos-portalfacil.azurewebsites.net/438,portalfacil,
37,Prefeitura Municipal de Itarana,itarana,https://Itarana-es.portaltp.com.br/api/,portaltp,
38,Prefeitura Municipal de Iúna,iúna,https://Iuna-es.portaltp.com.br/api/,portaltp,
39,Prefeitura Municipal de Jaguaré,jaguaré,https://jaguare-es.portaltp.com.br/api/,portaltp,
40,Prefeitura Municipal de Jeronimo Monteiro,jerônimo monteiro,https://JeronimoMonteiro-es.portaltp.com.br/api/,portaltp,
41,Prefeitura Municipal de João Neiva,joão neiva,https://JoaoNeiva-es.portaltp.com.br/api/,portaltp,
42,Prefeitura Municipal de Laranja da Terra,laranja da terra,https://LaranjadaTerra-es.portaltp.com.br/api/,portaltp,
43,Prefeitura Municipal de Linhares,linhares,https://Linhares-es.portaltp.com.br/api/,portaltp,
44,Prefeitura Municipal de Mantenópolis,mantenópolis,https://Mantenopolis-es.portaltp.com.br/api/,portaltp,
45,Prefeitura Municipal de Marataízes,marataizes,https://www.marataizes.es.gov.br/transparencia/api/,Agape,
46,Prefeitura Municipal de Marechal Floriano,marechal floriano,https://MarechalFloriano-es.portaltp.com.br/api/,portaltp,
47,Prefeitura Municipal de Marilândia,marilândia,marilandia-es.portaltp.com.br/api/,portaltp,
48,Prefeitura Municipal de Mimoso do Sul,mimoso do sul,https://MimosodoSul-es.portaltp.com.br/api/,portaltp,
49,Prefeitura Municipal de Montanha,montanha,https://Montanha-es.portaltp.com.br/api/,portaltp,
50,Prefeitura Municipal de Mucurici,mucurici,https://Mucurici-es.portaltp.com.br/api/,portaltp,
51,Prefeitura Municipal de Muniz Freire,muniz freire,https://MunizFreire-es.portaltp.com.br/api/,portaltp,
52,Prefeitura Municipal de Muqui,muqui,https://Muqui-es.portaltp.com.br/api/,portaltp,
53,Prefeitura Municipal de Nova Venecia,nova venécia,https://NovaVenecia-es.portaltp.com.br/api/,portaltp,
54,Prefeitura Municipal de Pancas,pancas,https://Pancas-es.portaltp.com.br/api/,portaltp,
55,Prefeitura Municipal de Pedro Canário,pedro canário,https://PedroCanario-es.portaltp.com.br/api/,portaltp,
56,Prefeitura Municipal de Pinheiros,pinheiros,https://Pinheiros-es.portaltp.com.br/api/,portaltp,
57,Prefeitura Municipal de Piúma,piúma,https://www.piuma.es.gov.br/portal/transparencia/api/,Agape,
58,Prefeitura Municipal de Ponto Belo,ponto belo,https://PontoBelo-es.portaltp.com.br/api/,portaltp,
59,Prefeitura Municipal de Presidente Kennedy,presidente kennedy,https://antigo.presidentekennedy.es.gov.br/transparencia/api/,Alphatec,
60,Prefeitura Municipal de Rio Bananal,rio bananal,https://RioBananal-es.portaltp.com.br/api/,portaltp,
61,Prefeitura Municipal de Rio Novo do Sul,rio novo do sul,https://RioNovodoSul-es.portaltp.com.br/api/,portaltp,
62,Prefeitura Municipal de Santa Leopoldina,santa leopoldina,https://SantaLeopoldina-es.portaltp.com.br/api/,portaltp,
63,Prefeitura Municipal de Santa Maria de Jetibá,santa mariade jetibá,https://SantaMariadeJetiba-es.portaltp.com.br/api/,portaltp,
64,Prefeitura Municipal de Santa Teresa,santa teresa,https://SantaTeresa-es.portaltp.com.br/api/,portaltp,
65,Prefeitura Municipal de São Domingos do Norte,são domingos do norte,https://www.saodomingosdonorte.es.gov.br/transparencia/api/,Agape,
66,Prefeitura Municipal de São Gabriel da Palha,são gabriel da palha,https://SaoGabrieldaPalha-es.portaltp.com.br/api/,portaltp,
67,Prefeitura Municipal de São Jose do Calçado,são josé do calçado,https://SaoJosedoCalcado-es.portaltp.com.br/api/,portaltp,
68,Prefeitura Municipal de São Mateus,são mateus,https://SaoMateus-es.portaltp.com.br/api/,portaltp,
69,Prefeitura Municipal de São Roque do Canaã,são roque do canaã,https://SaoRoquedoCanaa-es.portaltp.com.br/api/,portaltp,
70,Prefeitura Municipal da Serra,serra,https://wstransparencia.serra.es.gov.br/api/,tectrilha,1
71,Prefeitura Municipal de Sooretama,sooretama,https://www.sooretama.es.gov.br/transparencia/api/,Alphatec,
72,Prefeitura Municipal de Vargem Alta,vargem alta,https://VargemAlta-es.portaltp.com.br/api/,portaltp,
73,Prefeitura Municipal de Venda Nova do Imigrante,venda nova do imigrante,https://VendaNovadoImigrante-es.portaltp.com.br/api/,portaltp,
74,Prefeitura Municipal de Viana,viana,https://Viana-es.portaltp.com.br/api/,portaltp,
75,Prefeitura Municipal de Vila Pavão,vila pavão,https://VilaPavao-es.portaltp.com.br/api/,portaltp,
76,Prefeitura Municipal de Vila Valério,vila valério,https://VilaValerio-es.portaltp.com.br/api/,portaltp,
77,Prefeitura Municipal de Vila Velha,vila velha,https://wstransparencia.vilavelha.es.gov.br/api/,tectrilha,2
78,Prefeitura Municipal de Vitória,vitória,https://wstransparencia.vitoria.es.gov.br/api/,tectrilha,6
